stem	best_diff	size	best_flags	was
080105d4	129	280/304	-fno-cse-two-insn-immediate,-fno-sched-depend-count	132
0801dd28	132	308/308	-fno-cse-two-insn-immediate,-mgrouped-dma-store	147
08021488	132	344/344	-mhigh-register-move-first	133
0801908c	134	312/320	-fno-cse-pool-immediate	142
08010424	136	304/316	-fno-expensive-optimizations	140
08010788	136	292/316	-fno-cse-two-insn-immediate,-fno-sched-depend-count	139
08097384	136	280/264	-fno-schedule-insns2	138
0808e4b4	137	276/292	-fno-cse-pool-immediate	139
080aae14	137	308/324	-fno-regmove,-fno-schedule-insns2	140
08021228	138	284/312	-fno-regmove,-fno-schedule-insns2	141
080a524c	139	304/316	-fno-expensive-optimizations	146
0801a66c	140	292/268	-mentry-low-register-order	145
080b9324	141	356/332	-mthumb-load-latency-one	142
080162d4	142	298/280	-mpreserve-single-bit-test	154
0801b248	142	280/292	-fno-gcse	144
0802977c	143	412/404	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-high-dest-first	184
080b0fa4	144	322/296	-mthumb-immediate-latency	150
0802938c	146	324/326	-fno-cse-pool-immediate,-fno-regmove	161
080056cc	147	316/322	-mgrouped-dma-store,-mthumb-immediate-latency	148
0801a7f4	147	324/282	BASE	147
08090658	147	350/344	-fno-expensive-optimizations	155
080228e4	148	328/340	-fthumb-hoist-parameter-save	149
0800bc70	151	356/356	-fno-sched-alias,-fno-regmove	155
080901c0	154	432/440	-fno-expensive-optimizations	198
08012b2c	155	496/500	-fno-strength-reduce	203
08029094	155	344/334	-fno-regmove,-fno-schedule-insns2	156
080b0278	157	460/460	-fno-gcse	221
08028c04	161	356/368	-fno-cse-pool-immediate,-fsched-store-first	162
080cc960	162	384/396	-fno-expensive-optimizations	167
080b8c1c	167	396/412	-fno-rerun-cse-after-loop	170
0808f32c	173	368/364	-mthumb-load-latency-one	174
080a7850	173	482/482	-fno-gcse	200
080f2f10	179	380/360	-fno-regmove,-fno-schedule-insns2	183
0809bb64	182	378/368	-fno-strength-reduce	183
0809a484	186	468/472	-mthumb-early-literal-pool	204
080908e0	188	404/380	-fno-cse-follow-jumps	201
080b8574	189	400/376	-fno-expensive-optimizations	190
08094820	192	404/392	-fno-cse-pool-immediate,-fno-regmove	199
080a24d0	192	424/432	-fno-rerun-cse-after-loop,-fno-cse-two-insn-immediate	197
0801db70	193	452/440	-mpreserve-single-bit-test	197
080a5388	193	424/428	-fno-cse-pool-immediate	205
080178b0	195	424/436	-fno-gcse	211
0800c880	197	424/428	-fno-cse-two-insn-immediate,-fno-sched-depend-count	201
080b5368	207	464/460	BASE	207
080912b8	213	472/474	-fno-cse-two-insn-immediate,-fno-schedule-insns2	223
08094bbc	224	496/484	-fno-expensive-optimizations	257
0808e9c0	229	608/596	-fno-gcse	287
0809c138	231	526/476	-fno-cse-two-insn-immediate,-mthumb-immediate-latency	251
08018cac	237	590/590	-mpreserve-single-bit-test	268
0801b664	238	490/428	-fno-strength-reduce	241
0801b810	242	488/408	-fno-gcse	246
08077d38	243	436/520	-fno-regmove,-fno-schedule-insns2	254
0800b168	244	506/544	-fno-sched-depend-count,-mthumb-immediate-latency	248
0809ae64	251	588/588	-fno-cse-two-insn-immediate,-fno-sched-depend-count	265
0801a088	253	562/540	-mpreserve-single-bit-test	273
080ba978	280	612/612	-fno-gcse	296
080dc1ec	283	632/616	-fthumb-hoist-parameter-save	284
080f07f0	287	560/620	-fno-gcse	297
0808e23c	296	636/632	-fno-regmove,-fno-schedule-insns2	305
080ccc38	306	624/644	-fno-expensive-optimizations	309
080ba2c0	327	712/708	-fno-gcse	351
080999f0	339	784/808	-fno-cse-two-insn-immediate,-fno-sched-depend-count	366
080cd86c	344	724/696	-fno-regmove,-fno-schedule-insns2	362
08098cd8	361	836/832	-fno-cse-pool-immediate,-fno-sched-alias	373
080cd594	365	768/728	-fno-regmove,-fno-schedule-insns2	380
080a5cc0	368	798/798	-fno-rerun-cse-after-loop	381
08097c3c	382	848/836	-fno-cse-two-insn-immediate,-fsched-low-dest-first	409
080cc5d8	382	840/904	-fno-cse-two-insn-immediate,-fno-sched-depend-count	384
080a414c	402	876/832	-fno-gcse	410
