# ROM-derived GS2 sound-selection table. Human titles live only in games/music.tsv.
slot	header	player	source	status
279	0x082dde24	4	songs/midi/sound_279.mid	byte-exact
280	0x082dde4c	4	songs/midi/sound_280.mid	byte-exact
281	0x082dde74	4	songs/midi/sound_281.mid	byte-exact
282	0x082dde9c	4	songs/midi/sound_282.mid	byte-exact
283	0x082ddec4	4	songs/midi/sound_283.mid	byte-exact
284	0x082ddee8	4	songs/midi/sound_284.mid	byte-exact
285	0x082ddf0c	4	songs/midi/sound_285.mid	byte-exact
286	0x082ddf34	4	songs/midi/sound_286.mid	byte-exact
287	0x082ddf5c	4	songs/midi/sound_287.mid	byte-exact
288	0x082ddf68	3		empty
289	0x081c5e30	0		empty
290	0x082ddfb8	3	songs/midi/sound_290.mid	byte-exact
291	0x082de014	3	songs/midi/sound_291.mid	byte-exact
292	0x082de050	7	songs/midi/sound_292.mid	byte-exact
293	0x082de088	7	songs/midi/sound_293.mid	byte-exact
294	0x081c5e30	0		empty
295	0x081c5e30	0		empty
296	0x081c5e30	0		empty
297	0x081c5e30	0		empty
298	0x082de094	5		empty
299	0x081c5e30	0		empty
300	0x082de0b8	5	songs/midi/sound_300.mid	byte-exact
301	0x082de0dc	7	songs/midi/sound_301.mid	byte-exact
302	0x082de0f8	7	songs/midi/sound_302.mid	byte-exact
303	0x082de11c	2	songs/midi/sound_303.mid	byte-exact
304	0x082de154	5	songs/midi/sound_304.mid	byte-exact
305	0x082de180	2	songs/midi/sound_305.mid	byte-exact
306	0x082de1ac	5	songs/midi/sound_306.mid	byte-exact
307	0x082de1dc	5	songs/midi/sound_307.mid	byte-exact
308	0x082de264	5	songs/midi/sound_308.mid	byte-exact
309	0x082de2a8	7	songs/midi/sound_309.mid	byte-exact
310	0x082de300	2	songs/midi/sound_310.mid	byte-exact
311	0x082de3bc	3	songs/midi/sound_311.mid	byte-exact
