# ROM-derived TLA sound-selection table, identified by ROM sound IDs.
slot	header	player	source	status
199	0x082dcb10	3	SOUND_199.MID	byte-exact
200	0x082dcc50	5	SOUND_200.MID	byte-exact
201	0x082dcca0	7	SOUND_201.MID	byte-exact
202	0x082dccd0	5	SOUND_202.MID	byte-exact
203	0x082dccf8	5	SOUND_203.MID	byte-exact
204	0x082dcd80	2	SOUND_204.MID	byte-exact
205	0x082dcdb4	5	SOUND_205.MID	byte-exact
206	0x082dcde8	5	SOUND_206.MID	byte-exact
207	0x082dce14	5	SOUND_207.MID	byte-exact
208	0x082dce60	5	SOUND_208.MID	byte-exact
209	0x082dcf00	5	SOUND_209.MID	byte-exact
210	0x082dcf40	5	SOUND_210.MID	byte-exact
211	0x082dcf78	5	SOUND_211.MID	byte-exact
212	0x082dcfa8	5	SOUND_212.MID	byte-exact
213	0x082dcff8	3	SOUND_213.MID	byte-exact
214	0x082dd040	7	SOUND_214.MID	byte-exact
215	0x082dd07c	5	SOUND_215.MID	byte-exact
216	0x082dd0b4	5	SOUND_216.MID	byte-exact
217	0x082dd0e4	5	SOUND_217.MID	byte-exact
218	0x082dd100	5	SOUND_218.MID	byte-exact
219	0x082dd128	3	SOUND_219.MID	byte-exact
220	0x082dd1bc	7	SOUND_220.MID	byte-exact
221	0x082dd1ec	5	SOUND_221.MID	byte-exact
222	0x082dd228	5	SOUND_222.MID	byte-exact
223	0x082dd250	5	SOUND_223.MID	byte-exact
224	0x082dd280	2	SOUND_224.MID	byte-exact
225	0x082dd2a4	5	SOUND_225.MID	byte-exact
226	0x082dd2dc	5	SOUND_226.MID	byte-exact
227	0x082dd30c	5	SOUND_227.MID	byte-exact
228	0x082dd334	5	SOUND_228.MID	byte-exact
229	0x082dd358	5	SOUND_229.MID	byte-exact
230	0x082dd380	5	SOUND_230.MID	byte-exact
231	0x082dd3c0	5	SOUND_231.MID	byte-exact
232	0x082dd3f8	5	SOUND_232.MID	byte-exact
233	0x082dd498	5	SOUND_233.MID	byte-exact
234	0x082dd4b4	5	SOUND_234.MID	byte-exact
235	0x082dd550	5	SOUND_235.MID	byte-exact
236	0x082dd578	7	SOUND_236.MID	byte-exact
237	0x082dd5a4	7	SOUND_237.MID	byte-exact
238	0x082dd618	3	SOUND_238.MID	byte-exact
239	0x082dd6a4	3	SOUND_239.MID	byte-exact
240	0x082dd6d4	3	SOUND_240.MID	byte-exact
241	0x082dd79c	3	SOUND_241.MID	byte-exact
242	0x082dd7f4	3	SOUND_242.MID	byte-exact
243	0x082dd82c	3	SOUND_243.MID	byte-exact
244	0x082dd8a4	3	SOUND_244.MID	byte-exact
245	0x082dd8e0	3	SOUND_245.MID	byte-exact
246	0x082dd958	7	SOUND_246.MID	byte-exact
247	0x082dd980	3	SOUND_247.MID	byte-exact
248	0x082dd9c0	3	SOUND_248.MID	byte-exact
249	0x082dd9f8	3	SOUND_249.MID	byte-exact
250	0x082dda28	7	SOUND_250.MID	byte-exact
251	0x082dda58	7	SOUND_251.MID	byte-exact
252	0x082dda88	7	SOUND_252.MID	byte-exact
253	0x082ddadc	5	SOUND_253.MID	byte-exact
254	0x081c5e30	0		empty
255	0x081c5e30	0		empty
256	0x082ddb00	4	SOUND_256.MID	byte-exact
257	0x082ddb20	4	SOUND_257.MID	byte-exact
258	0x082ddb40	4	SOUND_258.MID	byte-exact
259	0x082ddb60	4	SOUND_259.MID	byte-exact
260	0x082ddb80	4	SOUND_260.MID	byte-exact
261	0x082ddba0	4	SOUND_261.MID	byte-exact
262	0x082ddbc0	4	SOUND_262.MID	byte-exact
263	0x082ddbe4	4	SOUND_263.MID	byte-exact
264	0x082ddc08	4	SOUND_264.MID	byte-exact
265	0x082ddc2c	4	SOUND_265.MID	byte-exact
266	0x082ddc50	4	SOUND_266.MID	byte-exact
267	0x082ddc74	4	SOUND_267.MID	byte-exact
268	0x082ddc98	4	SOUND_268.MID	byte-exact
269	0x082ddcbc	4	SOUND_269.MID	byte-exact
270	0x082ddce0	4	SOUND_270.MID	byte-exact
271	0x082ddd04	4	SOUND_271.MID	byte-exact
272	0x082ddd28	4	SOUND_272.MID	byte-exact
273	0x082ddd4c	4	SOUND_273.MID	byte-exact
274	0x082ddd70	4	SOUND_274.MID	byte-exact
275	0x082ddd94	4	SOUND_275.MID	byte-exact
276	0x082dddb8	4	SOUND_276.MID	byte-exact
277	0x082ddddc	4	SOUND_277.MID	byte-exact
278	0x082dde00	4	SOUND_278.MID	byte-exact
279	0x082dde24	4	SOUND_279.MID	byte-exact
280	0x082dde4c	4	SOUND_280.MID	byte-exact
281	0x082dde74	4	SOUND_281.MID	byte-exact
282	0x082dde9c	4	SOUND_282.MID	byte-exact
283	0x082ddec4	4	SOUND_283.MID	byte-exact
284	0x082ddee8	4	SOUND_284.MID	byte-exact
285	0x082ddf0c	4	SOUND_285.MID	byte-exact
286	0x082ddf34	4	SOUND_286.MID	byte-exact
287	0x082ddf5c	4	SOUND_287.MID	byte-exact
288	0x082ddf68	3		empty
289	0x081c5e30	0		empty
290	0x082ddfb8	3	SOUND_290.MID	byte-exact
291	0x082de014	3	SOUND_291.MID	byte-exact
292	0x082de050	7	SOUND_292.MID	byte-exact
293	0x082de088	7	SOUND_293.MID	byte-exact
294	0x081c5e30	0		empty
295	0x081c5e30	0		empty
296	0x081c5e30	0		empty
297	0x081c5e30	0		empty
298	0x082de094	5		empty
299	0x081c5e30	0		empty
300	0x082de0b8	5	SOUND_300.MID	byte-exact
301	0x082de0dc	7	SOUND_301.MID	byte-exact
302	0x082de0f8	7	SOUND_302.MID	byte-exact
303	0x082de11c	2	SOUND_303.MID	byte-exact
304	0x082de154	5	SOUND_304.MID	byte-exact
305	0x082de180	2	SOUND_305.MID	byte-exact
306	0x082de1ac	5	SOUND_306.MID	byte-exact
307	0x082de1dc	5	SOUND_307.MID	byte-exact
308	0x082de264	5	SOUND_308.MID	byte-exact
309	0x082de2a8	7	SOUND_309.MID	byte-exact
310	0x082de300	2	SOUND_310.MID	byte-exact
311	0x082de3bc	3	SOUND_311.MID	byte-exact
