stem	best_diff	size	best_mode	draft
080a2144	51	116/108	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fno-sched-depend-count	work/matches/m2c/080a2144.c
08012388	52	80/108	-fno-schedule-insns2	work/candidates/08012388.c
080a9c18	52	162/162	-fno-gcse	work/hand/080a9c18/corrected_m2c/080a9c18.c
0807a3a8	53	168/176	-fno-expensive-optimizations	work/candidates/0807a3a8.c
080c9048	53	164/156	-fno-cse-pool-immediate	work/matches/m2c/080c9048.c
08011590	55	184/180	-fno-sched-depend-count	work/agents/codex_08011590/08011590.c
0801c8a0	55	124/132	-fno-gcse	work/matches/m2c/0801c8a0.c
0808b98c	55	116/108	-fno-schedule-insns2	work/hand/0808b98c/0808b98c.c
080a1a40	55	112/126	-fno-cse-pool-immediate	work/matches/m2c/080a1a40.c
080b6c08	55	132/136	-fno-gcse-insert-load	work/hand/080b6c08.c
080113e4	56	188/188	-fno-expensive-optimizations	work/hand/080113e4/080113e4.c
0801868c	56	260/260	-fno-cse-two-insn-immediate	work/matches/m2c/0801868c.c
0808ddec	56	304/304	-fno-expensive-optimizations	work/agents/0808ddec/0808ddec.c
080a8c2c	57	144/148	-fno-schedule-insns2	work/agents/solve_080a8c2c/080a8c2c.c
080cdb24	57	146/154	-fno-expensive-optimizations	work/hand/080cdb24/high01/080cdb24.c
080f60a0	57	176/168	-fsched-store-first	work/matches/m2c/080f60a0.c
080b5b18	58	236/240	-fsched-store-first	work/agents/fresh_family_080b5b18/080b5b18.c
08019854	59	140/136	BASE	work/hand/08019854.c
08021848	59	144/148	-fno-schedule-insns2	work/agents/solve_08021848/08021848.c
08091f14	59	120/124	-fno-regmove	work/agents/solve_08091f14/08091f14.c
080b60a0	59	168/166	BASE	work/hand/080b60a0/080b60a0.c
08006a78	60	74/128	-fno-cse-pool-immediate	work/matches/m2c/08006a78.c
08016f2c	60	208/216	BASE	work/agents/08016f2c/08016f2c.c
080a9598	60	320/320	-fno-expensive-optimizations	work/matches/m2c/080a9598.c
0800bbc0	62	128/134	BASE	work/hand/0800bbc0/0800bbc0.c
08019000	62	140/140	BASE	work/hand/08019000/08019000.c
08099838	62	236/232	BASE	work/hand/08099838/08099838.c
080bad7c	62	190/194	-fno-gcse,-fno-cse-follow-jumps	work/agents/fresh_main_080bad7c/080bad7c.c
080f95f0	62	128/132	BASE	work/agents/solve_080f95f0/080f95f0.c
0809b86c	63	128/136	BASE	work/agents/solve_08019944/0809b86c.c
080a19a0	63	152/160	-fno-regmove,-fno-gcse	work/matches/m2c/080a19a0.c
0800fec8	64	144/140	-fno-sched-depend-count	work/manual/0800fec8.c
0808a5f8	65	236/236	BASE	work/agents/fresh_main_0808a5f8/0808a5f8.c
08092f84	65	160/188	BASE	work/matches/m2c/08092f84.c
08006910	66	132/148	-fno-gcse	work/matches/m2c/08006910.c
08006af8	66	140/140	-fno-cse-pool-immediate	work/hand/08006af8.c
0807a7a0	66	132/136	-fsched-store-first	work/agents/solve_08019944/0807a7a0.c
080a602c	66	180/168	-fno-gcse	work/hand/080a602c/080a602c.c
08010704	67	144/132	-mthumb-immediate-latency	work/agents/solve_08010704/08010704.c
0801bd98	67	220/232	-fno-regmove,-fno-expensive-optimizations	work/manual/0801bd98.c
0800ff54	68	172/172	BASE	work/hand/0800ff54/0800ff54.c
0807a0f4	68	188/192	BASE	work/candidates/0807a0f4.c
08095680	70	248/248	BASE	work/hand/08095680/08095680.c
080983a0	70	288/288	BASE	work/agents/080983a0/080983a0.c
0800c004	71	190/194	-mgrouped-dma-store	work/agents/0800c004/0800c004.c
080a1d08	72	290/302	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	work/matches/m2c/080a1d08.c
080292c4	73	200/200	BASE	work/candidates/080292c4.c
0800ba30	74	164/154	-fno-regmove,-mthumb-immediate-latency	work/hand/0800ba30/0800ba30.c
080b08b8	74	140/160	-fsched-store-first	work/hand/080b08b8/re_audit/register/00/080b08b8.c
080a77a4	75	172/170	-fsched-store-first	work/hand/080a77a4/080a77a4.c
08011644	76	246/248	-fno-cse-two-insn-immediate,-fsched-store-first	work/agents/codex_08011644/08011644.c
080798e0	77	212/208	-fno-schedule-insns2	work/matches/m2c/080798e0.c
080f6148	77	148/160	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	work/hand/080f6148/080f6148.c
080b5a0c	78	200/200	-fno-rerun-cse-after-loop	work/hand/080b5a0c/080b5a0c.c
0800479c	81	176/156	-mthumb-immediate-latency	work/matches/m2c/0800479c.c
0801e318	82	168/176	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	work/hand/0801e318_v2/0801e318.c
0808df1c	84	348/348	-fno-expensive-optimizations	work/manual/0808df1c.c
0809b208	84	352/348	-fno-schedule-insns2	work/hand/early-frame-family/0809b208.c
0801a5a4	85	188/200	-fno-cse-two-insn-immediate,-fsched-store-first	work/hand/0801a5a4/0801a5a4.c
080c0be4	85	264/264	-mthumb-immediate-latency	work/agents/080c0be4-next/080c0be4.c
0800b074	87	234/242	BASE	work/hand/0800b074/0800b074.c
080114a0	90	184/200	-fno-regmove	work/candidates/080114a0.c
080e46f0	90	184/200	-fno-strength-reduce	work/hand/080e46f0/080e46f0.c
0808f1c0	92	196/204	-mthumb-immediate-latency	work/matches/m2c/0808f1c0.c
08093af8	92	264/264	-fno-expensive-optimizations	work/matches/m2c/08093af8.c
080b5864	93	244/248	-mthumb-immediate-latency	work/matches/m2c/080b5864.c
08010d48	95	192/204	-fno-cse-two-insn-immediate	work/candidates/08010d48.c
08012e28	97	248/248	-fno-cse-two-insn-immediate	work/candidates/08012e28.c
0808b090	97	180/200	-fno-cse-pool-immediate	work/matches/m2c/0808b090.c
080aad10	98	252/260	-fno-cse-two-insn-immediate,-fsched-store-first	work/matches/m2c/080aad10.c
08090488	99	260/250	-fno-expensive-optimizations	work/matches/m2c/08090488.c
080f02b0	99	214/204	-fsched-high-dest-first	work/matches/m2c/080f02b0.c
0808e14c	100	236/240	-fno-gcse-insert-load	work/candidates/0808e14c.c
080bb65c	100	356/356	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080bb65c.c
080f0538	100	224/220	BASE	work/agents/080f0538-next/m2c-experiment/080f0538.c
080ccaec	102	196/240	BASE	work/matches/m2c/080ccaec.c
08005fcc	106	232/186	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/08005fcc.c
08021390	107	228/248	-fno-gcse	work/matches/m2c/08021390.c
08017248	108	278/282	-fno-regmove	work/hand/08017248/08017248.c
080ad40c	111	256/252	-fno-rerun-cse-after-loop	work/hand/080ad40c/080ad40c.c
080cd260	111	256/248	-fno-cse-two-insn-immediate,-fsched-low-dest-first	work/matches/m2c/080cd260.c
0808d48c	112	256/260	BASE	work/matches/m2c/0808d48c.c
080b9dc4	113	232/252	-fno-strength-reduce	work/m2c-fresh-20260722/080b9dc4.c
080b920c	114	268/278	-fno-schedule-insns2	work/matches/m2c/080b920c.c
080a1ac0	118	272/266	-fno-expensive-optimizations	work/matches/m2c/080a1ac0.c
08097194	119	240/248	BASE	work/matches/m2c/08097194.c
0808bb2c	121	280/280	-fno-schedule-insns2	work/hand/0808bb2c_v2/0808bb2c.c
0808ba38	123	264/244	-fno-gcse	work/matches/m2c/0808ba38.c
080ac8fc	123	246/264	-fno-strength-reduce	work/m2c-fresh-20260722/080ac8fc.c
080cdd58	123	302/310	-fno-cse-two-insn-immediate,-fsched-store-first	work/matches/m2c/080cdd58.c
080a4800	124	288/292	-fno-expensive-optimizations	work/matches/m2c/080a4800.c
08019bfc	125	264/272	-fno-regmove,-mthumb-immediate-latency	work/agents/fresh_08019bfc/08019bfc.c
0801ef68	125	292/288	-fsched-high-dest-first	work/matches/m2c/0801ef68.c
08097384	125	288/264	-fno-cse-follow-jumps,-fno-cse-skip-blocks	work/matches/m2c/08097384.c
0801179c	128	276/268	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	work/matches/m2c/0801179c.c
0808ace0	128	276/272	-mthumb-immediate-latency	work/matches/m2c/0808ace0.c
080105d4	129	280/304	-fno-sched-depend-count	work/matches/m2c/080105d4.c
08021488	132	344/344	-mhigh-register-move-first	work/hand/08021488/08021488.c
080a5b94	132	318/300	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fno-sched-depend-count	work/matches/m2c/080a5b94.c
080b29a8	133	376/360	-fno-expensive-optimizations	work/matches/m2c/080b29a8.c
0801dd28	135	308/308	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate	work/agents/fresh_0801dd28/0801dd28.c
08010424	136	304/316	-fno-expensive-optimizations	work/matches/m2c/08010424.c
08010788	136	292/316	-fno-sched-depend-count	work/matches/m2c/08010788.c
080162d4	137	284/280	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080162d4.c
0808e4b4	137	276/292	-fno-cse-pool-immediate	work/matches/m2c/0808e4b4.c
080aae14	137	320/324	-fno-regmove	work/matches/m2c/080aae14.c
0801908c	138	312/320	-fno-cse-pool-immediate	work/hand/0801908c/0801908c.c
08021228	138	284/312	-fno-schedule-insns2	work/matches/m2c/08021228.c
080a15f0	139	304/316	-fsched-store-first	work/matches/m2c/080a15f0.c
0802938c	140	308/326	-fno-gcse,-fno-cse-follow-jumps	work/matches/m2c/0802938c.c
080a524c	140	304/316	-fno-expensive-optimizations	work/matches/m2c/080a524c.c
0801b248	142	280/292	-fno-gcse	work/candidates/0801b248.c
0800bc70	143	360/356	-fno-cse-two-insn-immediate	work/agents/0800bc70/0800bc70.c
080b0fa4	144	322/296	-mthumb-immediate-latency	work/matches/m2c/080b0fa4.c
0801a66c	145	300/268	BASE	work/candidates/0801a66c.c
0802977c	145	412/404	-fno-cse-two-insn-immediate,-fno-cse-pool-immediate,-fsched-high-dest-first	work/matches/m2c/0802977c.c
080b9324	145	356/332	BASE	work/matches/m2c/080b9324.c
0801a7f4	147	324/282	BASE	work/matches/m2c/0801a7f4.c
08090658	147	350/344	-fno-expensive-optimizations	work/matches/m2c/08090658.c
080056cc	148	316/322	BASE	work/matches/m2c/080056cc.c
080228e4	149	328/340	BASE	work/matches/m2c/080228e4.c
080901c0	152	432/440	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080901c0.c
080cc960	153	388/396	-fno-cse-follow-jumps,-fno-cse-skip-blocks	work/matches/m2c/080cc960.c
08012b2c	155	496/500	-fno-strength-reduce	work/matches/m2c/08012b2c.c
08029094	155	344/334	-fno-schedule-insns2	work/matches/m2c/08029094.c
080b0278	158	460/460	-fno-gcse	work/matches/m2c/080b0278.c
080b8c1c	167	396/412	-fno-rerun-cse-after-loop	work/matches/m2c/080b8c1c.c
0808f32c	174	368/364	-fno-cse-pool-immediate	work/matches/m2c/0808f32c.c
08028c04	176	396/368	BASE	work/matches/m2c/08028c04.c
080f2f10	178	384/360	-fno-gcse,-fno-cse-follow-jumps	work/matches/m2c/080f2f10.c
080a7850	179	482/482	-fno-gcse	work/matches/m2c/080a7850.c
0809bb64	182	378/368	-fno-strength-reduce	work/matches/m2c/0809bb64.c
080908e0	186	400/380	-fno-gcse,-fno-cse-follow-jumps	work/matches/m2c/080908e0.c
080b8574	189	400/376	-fno-expensive-optimizations	work/matches/m2c/080b8574.c
08094820	193	400/392	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/08094820.c
080a5388	194	424/428	-fno-cse-pool-immediate	work/matches/m2c/080a5388.c
0800c880	197	424/428	-fno-sched-depend-count	work/matches/m2c/0800c880.c
080a24d0	199	444/432	-fno-cse-follow-jumps,-fno-cse-skip-blocks	work/matches/m2c/080a24d0.c
