# One human-authored register for music identity. Missing titles stay absent until Nintendo Music evidence is supplied.
kind	game	sound_id	name	en	de	es	fr	it	ja	source	gs1	gs2	evidence
# GS2's Battle Mode requester exposes decimal slots 0–96, not song titles.
track	gs2	752	battle-with-valukar	Battle with Valukar						https://goldensunwiki.net/wiki/Music
track	gs2	753	battle-with-sentinel	Battle with Sentinel						https://goldensunwiki.net/wiki/Music
track	gs2	754	battle-with-dullahan	Battle with Dullahan						https://goldensunwiki.net/wiki/Music
# Golden Sun titles below use exact/note-shape identity with the requester-listed
# Golden Sun: The Lost Age arrangements, while retaining each game's official name.
track	gs1	1	town-theme	Town Theme						https://goldensunwiki.net/wiki/Music
track	gs1	3	palace-theme	Palace Theme						https://goldensunwiki.net/wiki/Music
track	gs1	5	temple-theme	Temple Theme						https://goldensunwiki.net/wiki/Music
track	gs1	8	colosseum	Colosseum						https://goldensunwiki.net/wiki/Music
track	gs1	9	try-your-luck	Try Your Luck!						https://goldensunwiki.net/wiki/Music
track	gs1	10	tolbi	Tolbi						https://goldensunwiki.net/wiki/Music
track	gs1	24	cave-theme	Cave Theme						https://goldensunwiki.net/wiki/Music
track	gs1	25	desert-theme	Desert Theme						https://goldensunwiki.net/wiki/Music
track	gs1	26	remote-village	Remote Village						https://goldensunwiki.net/wiki/Music
track	gs1	28	babi-lighthouse	Babi Lighthouse						https://goldensunwiki.net/wiki/Music
track	gs1	29	labyrinth-theme	Labyrinth Theme						https://goldensunwiki.net/wiki/Music
track	gs1	41	set-sail-on-the-karagol-sea	Set Sail on the Karagol Sea						https://goldensunwiki.net/wiki/Music
track	gs1	42	a-long-journey	A Long Journey						https://goldensunwiki.net/wiki/Music
track	gs1	52	battling-a-powerful-foe	Battling a Powerful Foe						https://goldensunwiki.net/wiki/Music
track	gs1	64	the-passage-of-time	The Passage of Time						https://goldensunwiki.net/wiki/Music
shared		1									1	701	match-midi-notes:note-shape:1790
shared		3									3	703	match-midi-notes:note-shape:1562
shared		5									5	705	match-midi-notes:note-shape:1928
shared		8									8	708	match-midi-notes:note-shape:1820
shared		9									9	709	match-midi-notes:note-shape:1712
shared		10									10	710	match-midi-notes:note-shape:2408
shared		24									24	724	match-midi-notes:note-shape:2152
shared		25									25	725	match-midi-notes:note-shape:3128
shared		26									26	726	match-midi-notes:note-shape:1322
shared		28									28	728	match-midi-notes:note-shape:3204
shared		29									29	729	match-midi-notes:note-shape:3242
shared		41									41	741	match-midi-notes:note-shape:2466
shared		42									42	742	match-midi-notes:note-shape:2912
shared		52									52	752	match-midi-notes:note-shape:4434
shared		64									64	64	match-midi-notes:note-shape:200
shared		80									80	80	compare-midi-notes:64
shared		82									82	82	compare-midi-notes:66
shared		85									85	85	compare-midi-notes:20
